ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
0271.HK,2024-09-01,Real Estate Services,Real Estate,612899392.0,0.138,4.6823,0.8684211,0.165,0.15,0.22,2603968000.0,36141000.0,287318000.0,20948000.0,2023-12-31,-33.33,9.09
0272.HK,2024-09-01,Real Estate—Development,Real Estate,42183086080.0,0.716,0.08306,14.75,0.59,0.58,0.86,100998000000.0,25641000000.0,4772000000.0,3916000000.0,2023-12-31,-45.76,1.69
0276.HK,2024-09-01,Coking Coal,Basic Materials,5231748096.0,0.7,0.52878,0.061659195,0.55,0.375,1.1,4215361000.0,6834139000.0,2869900000.0,862880000.0,2024-03-31,-100.0,31.82
0285.HK,2024-09-01,Electronic Components,Technology,74046316544.0,3.608,0.02654,14.642858,28.7,23.2,41.05,87218620000.0,54750533000.0,4869751000.0,4073053000.0,2023-12-31,-43.03,19.16
0288.HK,2024-09-01,Packaged Foods,Consumer Defensive,76007653376.0,0.109,0.03907,9.466666,5.68,3.93,5.92,19179000000.0,4658000000.0,1222000000.0,2288000000.0,2023-12-31,-4.23,30.81
0291.HK,2024-09-01,Beverages—Brewers,Consumer Defensive,77608288256.0,2.003,0.13424,13.778409,24.25,22.15,47.85,71524000000.0,24364000000.0,7260000000.0,6149000000.0,2023-12-31,-97.32,8.66
0293.HK,2024-09-01,Airlines,Industrials,99164266496.0,2.926,0.09089,6.7372885,7.95,7.63,9.35,174115000000.0,45493000000.0,14819000000.0,12999000000.0,2023-12-31,-17.61,4.03
0296.HK,2024-09-01,Resorts & Casinos,Consumer Cyclical,639611200.0,0.517,0.07714,6.2,0.31,0.29,0.49,4862384000.0,200752000.0,36358000.0,36120000.0,2024-03-31,-58.06,6.45
0297.HK,2024-09-01,Agricultural Inputs,Basic Materials,4425072640.0,0.671,0.03019,10.099999,1.01,0.74,1.13,21982901000.0,10631821000.0,915877000.0,1042899000.0,2023-12-31,-11.88,26.73
0301.HK,2024-09-01,Specialty Chemicals,Basic Materials,601782528.0,0.081,0.00577,87.0,0.87,0.71,1.37,773334000.0,427614000.0,20365000.0,18138000.0,2023-12-31,-57.47,18.39
