ticker,market,date_pulling,industry,sector,marketCap,enterpriseValue,currentPrice,totalCashPerShare,profitMargins,trailingPE,Total Non Current Assets,Working Capital,EBIT,Operating Income,ttm_latest,beta_earnings,numofyear,avg_MF_ROC
CPI.bk,SET,2024-10-09,Farm Products,Consumer Defensive,1898259072.0,3081547008.0,3.0,0.16,0.03086,11.111111,3161665000.0,-123484000.0,218934000.0,215679163.0,2024-06-30,-0.8479,5.0,0.1029
CPN.bk,SET,2024-10-09,Real Estate - Diversified,Real Estate,302939996160.0,436598505472.0,67.5,1.059,0.3169,17.952127,274185110000.0,-14096872000.0,24091260649.0,18390532834.0,2024-06-30,3.4219,5.0,0.0448
CPNREIT.bk,SET,2024-10-09,REIT - Diversified,Real Estate,44539162624.0,87780540416.0,12.3,0.497,0.39516997,14.470588,89396075000.0,-5333842000.0,4988243090.0,4757543999.0,2024-06-30,3.3446,5.0,0.0489
CPR.bk,mai,2024-10-09,Auto Parts,Consumer Cyclical,696499968.0,434031008.0,3.5,1.35,0.09255,17.5,221718000.0,456147000.0,47846481.0,32784763.0,2024-06-30,0.7839,5.0,0.063
CPT.bk,SET,2024-10-09,Electrical Equipment & Parts,Industrials,891000000.0,554186688.0,0.99,0.379,0.06566,14.142858,466866300.14,511026546.21,82317523.48,77808936.47,2024-06-30,2.3886,5.0,-0.0215
CPW.bk,SET,2024-10-09,Electronics & Computer Distribution,Technology,1644000000.0,2037536000.0,2.74,0.155,0.01644,11.913043,869211000.0,122256000.0,173408428.0,268332009.0,2024-06-30,3.2161,5.0,0.16
CSC.bk,SET,2024-10-09,Packaging & Containers,Consumer Cyclical,2366031872.0,1164441344.0,45.5,24.344,0.07567,8.699809,2279013000.0,2125819000.0,350214999.0,302907020.0,2024-06-30,1.2894,5.0,0.0511
CSR.bk,SET,2024-10-09,Leisure,Consumer Cyclical,1640000000.0,1478462976.0,80.0,7.88,0.32216,31.746033,1179820818.46,141923168.18,64490384.86,64490384.86,2024-06-30,1.3814,5.0,0.0234
CSS.bk,SET,2024-10-09,Electronics & Computer Distribution,Technology,1105195648.0,493628736.0,0.94,0.574,0.0014200001,94.0,843469000.0,1034081000.0,7195653.0,2119484.0,2024-06-30,-1.5299,5.0,0.0495
D.bk,mai,2024-10-09,Medical Care Facilities,Healthcare,1225061632.0,1521833216.0,3.58,0.142,0.06632,19.888887,755130048.29,75476068.82,95392501.46000001,95392501.46000001,2024-06-30,2.9552,5.0,0.0544
DCC.bk,SET,2024-10-09,Building Products & Equipment,Industrials,17858756608.0,19687632896.0,1.96,0.009,0.15981,15.076924,7064405000.0,651859000.0,1496400034.0,1435377720.0,2024-06-30,-2.7253,5.0,0.2865
DCON.bk,SET,2024-10-09,Building Materials,Basic Materials,1777492224.0,2675010304.0,0.33,0.015,0.110369995,16.500002,1983051570.98,1175520353.74,217288741.5,146883863.36,2024-06-30,2.5417,5.0,0.0389
DELTA.bk,SET,2024-10-09,Electrical Equipment & Parts,Industrials,1372117925888.0,1336816959488.0,110.0,0.493,0.13291,65.08875,37800062000.0,40859725000.0,22069796102.0,19272031490.0,2024-06-30,3.2033,5.0,0.1942
