ticker,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,totalCashPerShare,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest
DJCO,2024-08-18,Software—Application,Technology,618066624.0,448.71,311862816.0,243.216,369861000.0,42011000.0,62585000.0,5296000.0,2024-06-30
DLHC,2024-08-18,Specialty Business Services,Industrials,150055088.0,10.58,326945984.0,0.03,324957000.0,58438000.0,16719000.0,26368000.0,2024-06-30
DMLP,2024-08-18,Oil & Gas E&P,Energy,1256376704.0,31.34,1221326080.0,0.877,176031000.0,4578000.0,108038000.0,108038000.0,2024-06-30
DORM,2024-08-18,Auto Parts,Consumer Cyclical,3223543296.0,105.44,3811953920.0,1.553,2285715000.0,514119000.0,269485000.0,268338000.0,2024-06-30
DSGX,2024-08-18,Software—Application,Technology,8546694144.0,100.09,8315187200.0,2.798,1543231000.0,228680000.0,160838000.0,172308000.0,2024-04-30
DXCM,2024-08-18,Medical Devices,Healthcare,29914271744.0,74.65,29387857920.0,7.788,6799200000.0,1722200000.0,826100000.0,681500000.0,2024-06-30
DXLG,2024-08-18,Apparel Retail,Consumer Cyclical,173541200.0,2.98,289527584.0,0.914,376627000.0,86954000.0,37783000.0,37783000.0,2024-04-30
DXPE,2024-08-18,Industrial Distribution,Industrials,782014272.0,49.53,1309165056.0,3.163,1189146000.0,227703000.0,135972000.0,132326000.0,2024-06-30
EA,2024-08-18,Electronic Gaming & Multimedia,Communication Services,39196712960.0,148.36,38615703552.0,10.469,12708000000.0,2468000000.0,1443000000.0,1403000000.0,2024-06-30
EBAY,2024-08-18,Internet Retail,Consumer Cyclical,27139500032.0,55.5,30150500352.0,10.564,20378000000.0,5799000000.0,3905000000.0,2045000000.0,2024-06-30
ECPG,2024-08-18,Mortgage Finance,Financial Services,1175310464.0,49.61,4424463360.0,10.729,4816844000.0,207325000.0,53569000.0,300681000.0,2024-06-30
EEFT,2024-08-18,Software—Infrastructure,Technology,4626621952.0,103.01,4975317504.0,46.03,6060800000.0,3571600000.0,476200000.0,462700000.0,2024-06-30
EGAN,2024-08-18,Software—Application,Technology,221910656.0,7.44,142923664.0,2.782,120324000.0,49616000.0,7137000.0,7137000.0,2024-03-31
ELTK,2024-08-18,Electronic Components,Technology,66680696.0,9.94,61604096.0,2.964,54907000.0,11250000.0,6944000.0,6438000.0,2024-06-30
EML,2024-08-18,Tools & Accessories,Industrials,182679856.0,29.33,227899024.0,2.206,255902501.0,45454922.0,18990248.0,19306232.0,2024-06-30
