ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
PVD.VN,2024-09-01,Oil & Gas Drilling,Energy,15258892632064.0,0.279,0.090229996,29.069767,27450.0,22800.0,34900.0,23344436670189.0,4015079295203.0,1062225310890.0,953742319911.0,2024-06-30,-27.14,16.94
PVT.VN,2024-09-01,Marine Shipping,Industrials,12995021242368.0,13735.59,0.09039,13.717389,28750.0,19909.092,32700.0,17566533866756.0,3404631975687.0,1886064124170.0,1809577820690.0,2024-06-30,-13.74,30.75
QCG.VN,2024-09-01,Lumber & Wood Production,Basic Materials,2967339794432.0,100.171,0.03751,294.11765,6200.0,5590.0,18800.0,9375911813785.0,4639630901936.0,42116750040.0,41299043870.0,2024-06-30,-203.23,9.84
RAL.VN,2024-09-01,Electrical Equipment & Parts,Industrials,5844790411264.0,48445.08,0.06489,5.3648067,142000.0,99800.0,159400.0,8429511027748.0,5327405244493.0,750041443521.0,736341697359.0,2024-06-30,-12.25,29.72
REE.VN,2024-09-01,Engineering & Construction,Industrials,40837551489024.0,10324.754,0.22242,18.018019,68600.0,44086.957,75700.0,34746405592661.0,4000498257011.0,3042596263392.0,2280877972009.0,2024-06-30,-10.35,35.73
SAB.VN,2024-09-01,Beverages—Brewers,Consumer Defensive,52297396649984.0,18212.361,0.13577,17.857143,57500.0,52000.0,88000.0,34153648268028.0,8668920290705.0,5565751386352.0,4233007520495.0,2024-06-30,-53.04,9.57
SAM.VN,2024-09-01,Conglomerates,Industrials,4113924620288.0,950.751,0.02056,34.013603,6500.0,5870.0,8350.0,6748005858604.0,1892188971693.0,180697706366.0,98024098812.0,2024-06-30,-28.46,9.69
SBT.VN,2024-09-01,Confectioners,Consumer Defensive,18040135614464.0,11345.761,0.02526,19.841269,12550.0,10700.0,16800.0,34198411622964.0,19671136185066.0,2407225323540.0,1631605985843.0,2024-03-31,-33.86,14.74
SCR.VN,2024-09-01,Real Estate—Diversified,Real Estate,5473641168896.0,241.53,0.03292,192.3077,5850.0,5460.0,9250.0,10867799381125.0,4232731838031.0,328307669218.0,16570905273.0,2024-06-30,-58.12,6.67
SCS.VN,2024-09-01,Airports & Air Services,Industrials,7040607453184.0,9457.815,0.69962996,14.792899,82900.0,62400.0,96000.0,1534732645138.0,174560812528.0,532191247820.0,601447965898.0,2024-06-30,-15.8,24.73
SFG.VN,2024-09-01,Agricultural Inputs,Basic Materials,579816128512.0,10936.975,0.02642,12.004802,10800.0,7740.0,16100.0,1361280093149.0,725433000396.0,74839592894.0,49710462690.0,2024-06-30,-49.07,28.33
SHP.VN,2024-09-01,Utilities—Diversified,Utilities,3520189693952.0,1189.865,0.40148,15.197568,35050.0,28000.0,36650.0,1417043683659.0,334092853050.0,280057316453.0,278502090865.0,2024-06-30,-4.56,20.11
SIP.VN,2024-09-01,Real Estate—Development,Real Estate,13315548905472.0,25471.41,0.1393,16.155088,76900.0,43347.824,87900.0,23312281802057.0,3697183613780.0,1163812963226.0,832624692351.0,2024-06-30,-14.3,43.63
SJS.VN,2024-09-01,Real Estate Services,Real Estate,8909776486400.0,1104.577,0.36290002,37.878788,70200.0,54100.0,82400.0,7730245218607.0,2433294370977.0,292771222899.0,282980081166.0,2024-06-30,-17.38,22.93
SSI.VN,2024-09-01,Capital Markets,Financial Services,77253283151872.0,12469.49,0.42311,21.691975,33700.0,25650.0,39250.0,71107553198713.0,46201434111239.0,5041109403147.0,5081093834568.0,2024-06-30,-16.47,23.89
STG.VN,2024-09-01,Integrated Freight & Logistics,Industrials,3948283953152.0,5247.444,0.06639,31.0559,42950.0,38200.0,56200.0,2934391702708.0,460996375385.0,232376749871.0,116711530913.0,2024-06-30,-30.85,11.06
TBC.VN,2024-09-01,Utilities—Independent Power Producers,Utilities,2749744283648.0,2221.92,0.22869,27.62431,39900.0,34600.0,43000.0,1517792245771.0,172054201300.0,168472795646.0,158266740602.0,2024-06-30,-7.77,13.28
TCH.VN,2024-09-01,Farm & Heavy Construction Machinery,Industrials,13590638624768.0,3566.904,0.18045,15.873015,18500.0,9900.0,21650.0,15091354279518.0,2336667524676.0,1647318566257.0,1378742667178.0,2024-06-30,-17.03,46.49
TCM.VN,2024-09-01,Textile Manufacturing,Consumer Cyclical,4684435685376.0,8414.012,0.05962,25.839794,47500.0,34090.91,54400.0,3692314893648.0,1486050288633.0,318992521423.0,260499475495.0,2024-06-30,-14.53,28.23
TDM.VN,2024-09-01,Utilities—Regulated Water,Utilities,5640346402816.0,3322.19,0.30746,31.25,51000.0,38800.0,52300.0,2928363913150.0,314088739038.0,216081948602.0,233166104026.0,2024-06-30,-2.55,23.92
TDP.VN,2024-09-01,Packaging & Containers,Consumer Cyclical,2335081758720.0,680.47,0.051409997,42.194096,35400.0,23090.908,37450.0,3688049768440.0,2470865781352.0,301764330690.0,269647411797.0,2024-06-30,-5.79,34.77
TLG.VN,2024-09-01,Business Equipment & Supplies,Industrials,3537993728000.0,12073.567,0.12026,10.952903,52700.0,45550.0,58100.0,3272037229431.0,856157515532.0,545953509779.0,499742262368.0,2024-06-30,-10.25,13.57
TMP.VN,2024-09-01,Utilities—Independent Power Producers,Utilities,4862350721024.0,4789.415,0.44274,14.450868,68900.0,53100.0,76500.0,1862890912513.0,131694671323.0,433986374394.0,355901325837.0,2024-06-30,-11.03,22.93
TMS.VN,2024-09-01,Integrated Freight & Logistics,Industrials,9883274444800.0,6206.021,0.04962,63.291138,49000.0,38550.0,58500.0,7699946120524.0,1009109851936.0,311885719175.0,218197674647.0,2024-06-30,-19.39,21.33
TRA.VN,2024-09-01,Drug Manufacturers—Specialty & Generic,Healthcare,2846867062784.0,13961.774,0.10272,15.600625,78000.0,75000.0,90000.0,1993972927807.0,472181809547.0,334472361757.0,305797645773.0,2024-06-30,-15.38,3.85
TVS.VN,2024-09-01,Capital Markets,Financial Services,6501920931840.0,8516.754,0.18646,17.574692,23500.0,16954.545,28100.0,6448667634903.0,4253745783057.0,447488878425.0,1058769362239.0,2024-06-30,-19.57,27.85
