ticker,market,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,Total Assets,Current Liabilities,EBIT,ttm_lastest,MF_ROC,MF_EY
KTMS.bk,mai,2024-08-15,Medical Care Facilities,Healthcare,660000000.0,2.2,607883008.0,656380000.0,125814000.0,23480042.0,2023-09-30,0.04425470535239725,0.03862592257225917
KUMWEL.bk,mai,2024-08-15,Security & Protection Services,Industrials,756800000.0,1.76,984851008.0,893162000.0,128543000.0,58191932.0,2024-03-31,0.07610578863460102,0.059087041113126425
KUN.bk,mai,2024-08-15,Real Estate - Development,Real Estate,1048753984.0,1.4,2945181952.0,2902332988.0,979277733.0,42341792.0,2024-06-30,0.02201797992538701,0.014376630269395322
KWC.bk,SET,2024-08-15,Real Estate Services,Real Estate,1620000000.0,270.0,1432899968.0,892211000.0,60780000.0,130472401.0,2024-06-30,0.15692510984074445,0.0910547867358177
KWM.bk,mai,2024-08-15,Farm & Heavy Construction Machinery,Industrials,596026112.0,1.22,553571584.0,665860000.0,98245000.0,36899809.0,2024-03-31,0.06500851633589669,0.06665770076810879
KYE.bk,SET,2024-08-15,"Furnishings, Fixtures & Appliances",Consumer Cyclical,5702400000.0,288.0,789750976.0,11256235000.0,853799000.0,742442007.0,2024-06-30,0.07137193701552214,0.9400963462690295
LALIN.bk,SET,2024-08-15,Real Estate - Development,Real Estate,5549993984.0,6.0,11296872448.0,17265077965.219997,4068287164.69,901404603.9,2024-03-31,0.06830483391945552,0.07979240343282665
LANNA.bk,SET,2024-08-15,Thermal Coal,Energy,7665000448.0,14.6,7897123328.0,16223461000.0,3418211000.0,4825899667.0,2024-03-31,0.3768688363757053,0.6110958973996664
LDC.bk,mai,2024-08-15,Medical Care Facilities,Healthcare,270000000.0,0.45,423125760.0,542104885.32,60831035.2,33395946.85,2024-03-31,0.06939073635867211,0.07892676364114537
LEE.bk,SET,2024-08-15,Packaged Foods,Consumer Defensive,2173416192.0,2.38,1238558464.0,3092431807.0,191668290.0,104033506.0,2023-12-31,0.03586418037537667,0.08399563607519782
LEO.bk,mai,2024-08-15,Integrated Freight & Logistics,Industrials,1172023168.0,3.72,1762830592.0,1679703000.0,369993000.0,107358000.0,2024-03-31,0.08197081796733628,0.060900917244803524
LH.bk,SET,2024-08-15,Real Estate - Development,Real Estate,63930982400.0,5.05,137676029952.0,142671847000.0,38888519000.0,9438595866.0,2024-06-30,0.09094520331820541,0.068556566232268
LHK.bk,SET,2024-08-15,Steel,Basic Materials,1401780096.0,3.66,1176203008.0,1996030681.0,453433593.0,154737182.0,2024-03-31,0.10030952554216153,0.13155652633733106
LHSC.bk,SET,2024-08-15,REIT - Diversified,Real Estate,4929448960.0,9.95,4856245760.0,7212634000.0,476113000.0,621890340.0,2024-03-31,0.09231624751114113,0.12805989868189868
LOXLEY.bk,SET,2024-08-15,Conglomerates,Industrials,3170929920.0,1.4,4163709952.0,12918754000.0,4444234000.0,470788996.0,2024-06-30,0.055553470403043474,0.11306959452683797
LPH.bk,SET,2024-08-15,Medical Care Facilities,Healthcare,3240000000.0,4.5,3827596288.0,3097932968.63,448666161.73,106817683.99999999,2024-03-31,0.04031971552347764,0.027907249344683235
LPN.bk,SET,2024-08-15,Real Estate - Development,Real Estate,4217180416.0,2.9,15654867968.0,25895901345.24,9354352756.33,506151225.2099999,2024-06-30,0.030598781153376435,0.032331874420443524
LRH.bk,SET,2024-08-15,Lodging,Consumer Cyclical,6333954048.0,38.0,10780747776.0,30760609000.0,5943493000.0,1062791998.0,2024-03-31,0.04282495991879153,0.09858240078355025
LST.bk,SET,2024-08-15,Farm Products,Consumer Defensive,3919600128.0,4.78,4902423040.0,7570697000.0,1833336000.0,657359703.0,2024-06-30,0.11457527302186493,0.134088734822852
M.bk,SET,2024-08-15,Restaurants,Consumer Cyclical,23807629312.0,26.0,20020264960.0,20121423000.0,3024680000.0,2067665281.0,2024-06-30,0.1209391333191357,0.10327861719768168
MAGURO.bk,mai,2024-08-15,Restaurants,Consumer Cyclical,1675800064.0,13.3,1777777280.0,1206320463.0,198364766.0,113985122.0,2024-06-30,0.1130854484371251,0.06411664907766174
MAJOR.bk,SET,2024-08-15,Entertainment,Communication Services,11009418240.0,13.6,14009531392.0,14404005000.0,3798720000.0,960407979.0,2024-06-30,0.09055937478342166,0.06855389749498911
MALEE.bk,SET,2024-08-15,Packaged Foods,Consumer Defensive,5839321600.0,10.7,7374797824.0,5588453000.0,2102974000.0,305936501.0,2024-03-31,0.0877745931047067,0.04148405262099291
MANRIN.bk,SET,2024-08-15,Lodging,Consumer Cyclical,860979200.0,32.0,1076644096.0,722817650.15,55646068.39,59592962.68000001,2024-03-31,0.08932179413696496,0.05535066128296496
MASTER.bk,mai,2024-08-15,Medical Care Facilities,Healthcare,12521048064.0,41.5,11271820288.0,3745970000.0,349996000.0,574399919.0,2024-03-31,0.16914143600628273,0.05095893159435013
MATCH.bk,SET,2024-08-15,Entertainment,Communication Services,1016117632.0,1.3,1148704384.0,1571553000.0,116957000.0,77733244.0,2024-06-30,0.053439748218749396,0.06767036417961472
MATI.bk,SET,2024-08-15,Publishing,Communication Services,1380849920.0,7.45,671893568.0,1893684000.0,98754000.0,38195846.58,2024-03-31,0.0212798530193378,0.0568480610607661
MBAX.bk,mai,2024-08-15,Packaging & Containers,Consumer Cyclical,579041856.0,2.92,1210905856.0,1432559000.0,751636000.0,57110381.0,2024-06-30,0.08387201049164149,0.04716335354810606
MBK.bk,SET,2024-08-15,Conglomerates,Industrials,22767298560.0,16.4,55376084992.0,60980119000.0,6183924000.0,3729056222.0,2024-03-31,0.06805319643088356,0.06734055364402747
MC.bk,SET,2024-08-15,Apparel Manufacturing,Consumer Cyclical,7801200128.0,9.85,7553653248.0,5479450000.0,848902000.0,894571018.0,2024-03-31,0.19318901736900254,0.11842892288401746
M-CHAI.bk,SET,2024-08-15,Medical Care Facilities,Healthcare,5160000000.0,32.25,13482330112.0,12170118238.0,2712700367.0,731331386.0,2024-03-31,0.0773288645987122,0.05424369377731492
MCOT.bk,SET,2024-08-15,Broadcasting,Communication Services,1841425408.0,2.68,2521905920.0,10706080000.0,455526000.0,822344690.0,2024-06-30,0.08022441421214892,0.32608063745692784
MCS.bk,SET,2024-08-15,Steel,Basic Materials,3362850048.0,7.05,3173469952.0,5578079000.0,1846887000.0,414747477.0,2024-06-30,0.11115683057853898,0.13069210777893636
MDX.bk,SET,2024-08-15,Real Estate - Development,Real Estate,1360195968.0,2.86,1744934528.0,7502666980.54,221120857.55,271272616.34000003,2024-03-31,0.03725480986565641,0.1554629196609032
MEB.bk,mai,2024-08-15,Software - Application,Technology,8924999680.0,29.75,7550268416.0,1507380309.0,282161210.0,535436816.0,2024-06-30,0.437013115806808,0.07091626237622756
MEGA.bk,SET,2024-08-15,Drug Manufacturers - Specialty & Generic,Healthcare,32913092608.0,37.75,29531150336.0,14970946000.0,4751162000.0,2346631000.0,2024-06-30,0.22961649678701623,0.07946290521366299
MENA.bk,SET,2024-08-15,Trucking,Industrials,667940032.0,0.91,1052465600.0,1449230166.0,186934550.0,85893187.0,2024-03-31,0.06804522325141309,0.08161139613494256
METCO.bk,SET,2024-08-15,Electronic Components,Technology,3510863872.0,168.0,1738089856.0,9200357000.0,2138398000.0,887970292.0,2024-06-30,0.12573993873371397,0.5108885993061109
MFC.bk,SET,2024-08-15,Asset Management,Financial Services,2449511936.0,19.5,1823770880.0,1682162000.0,116967000.0,229407270.0,2024-03-31,0.1465678525678909,0.12578733025937994
